customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure
1,Laraine,Medendorp,F,93,10/12/53,Executive Secretary,Health,Mass Customer,N,"""'",Yes,11
2,Eli,Bockman,Male,81,12/16/80,Administrative Officer,Financial Services,Mass Customer,N,<script>alert('hi')</script>,Yes,16
3,Arlin,Dearle,Male,61,1/20/54,Recruiting Manager,Property,Mass Customer,N,1-Feb,Yes,15
4,Talbot,,Male,33,10/3/61,,IT,Mass Customer,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,7
5,Sheila-kathryn,Calton,Female,56,5/13/77,Senior Editor,n/a,Affluent Customer,N,NIL,Yes,8
6,Curr,Duckhouse,Male,35,9/16/66,,Retail,High Net Worth,N,_µ _ _ _,Yes,13
7,Fina,Merali,Female,6,2/23/76,,Financial Services,Affluent Customer,N,‰¡‰«‰µ‰‰‰,Yes,11
8,Rod,Inder,Male,31,3/30/62,Media Manager I,n/a,Mass Customer,N,(‰øå¡‰Áå¡•_‰ø•üµ ‰È‰‰È),No,7
9,Mala,Lind,Female,97,3/10/73,Business Systems Development Analyst,Argiculture,Affluent Customer,N,0/0,Yes,8
10,Fiorenze,Birdall,Female,49,10/11/88,Senior Quality Engineer,Financial Services,Mass Customer,N,_©__,Yes,20
11,Uriah,Bisatt,Male,99,4/30/54,,Property,Mass Customer,N,‰å«å¨‰Êå´å¬èÌüì‰‰,No,9
12,Sawyere,Flattman,Male,58,7/21/94,Nuclear Power Engineer,Manufacturing,Mass Customer,N,nil,No,8
13,Gabriele,Norcross,Male,38,2/15/55,Developer I,Financial Services,High Net Worth,N,-1.00E+02,Yes,8
14,Rayshell,Kitteman,Female,85,3/25/83,Account Executive,Financial Services,Affluent Customer,N,‰¡‰«‰µ,No,6
15,Erroll,Radage,Male,91,7/13/00,Junior Executive,Manufacturing,Mass Customer,N,_,No,1
16,Harlin,Parr,Male,38,2/27/77,Media Manager IV,n/a,Mass Customer,N,1.00E+96,Yes,18
17,Heath,Faraday,Male,57,3/19/62,Sales Associate,n/a,Affluent Customer,N,•_•_´‰À‹_‰_(•_Á‰‰À‰•_Á)‰±‰À•_´•_,Yes,15
18,Marjie,Neasham,Female,79,7/6/67,Professor,n/a,Affluent Customer,N,ë©‰Ì¤‰‰Çèåµ‰_‰´Ìá,No,11
19,Sorcha,Keyson,Female,76,4/15/01,Geological Engineer,Manufacturing,High Net Worth,N,‰å«‰¡èÌå¬èÌ‰‰‰,No,1
20,Basile,Firth,Male,72,8/13/80,Project Manager,Manufacturing,Mass Customer,N,_©__,No,11
21,Mile,Cammocke,Male,74,9/20/80,Safety Technician I,Manufacturing,Affluent Customer,N,-1.00E+02,Yes,16
22,Deeanne,Durtnell,Female,79,12/10/62,,IT,Mass Customer,N,•_•_•_,No,11
23,Olav,Polak,Male,43,2/10/95,,n/a,High Net Worth,N,1-Feb,Yes,1
24,Kim,Skpsey,Female,55,12/3/77,Research Assistant I,Argiculture,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,15
25,Geoff,Assaf,Male,72,12/2/76,Accounting Assistant III,Financial Services,Mass Customer,N,_…ü_…¡_»…ü_test¯¤ô¯µô¯_¯¤¯» ¯¤ô¯»ô¯_ôô,Yes,21
26,Trixi,Ginnelly,Female,12,6/10/78,Editor,Financial Services,Mass Customer,N,"<>?:""{}|_+",Yes,16
27,Garvin,Klees,Male,37,9/25/78,Research Nurse,Health,Mass Customer,N,"''''""",Yes,12
28,Fee,Zellmer,Male,5,9/30/73,Senior Quality Engineer,Health,Affluent Customer,N,",./;'[]\-=",Yes,21
29,Mona,Sancraft,Female,62,6/22/68,Safety Technician III,Manufacturing,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,No,19
30,Darrick,Helleckas,Male,18,10/18/61,,IT,Affluent Customer,N,“Â’__’“ “«’“¡µÂ“,Yes,6
31,Star,Praton,Female,3,11/24/62,Staff Accountant III,Telecommunications,High Net Worth,N,test‰Êtest‰Ç,Yes,14
32,Marion,Vanichkin,Female,17,4/20/95,Legal Assistant,Manufacturing,Affluent Customer,N,0•ü‰£ 1•ü‰£ 2•ü‰£ 3•ü‰£ 4•ü‰£ 5•ü‰£ 6•ü‰£ 7•ü‰£ 8•ü‰£ 9•ü‰£ _,No,4
33,Ernst,Hacon,Male,44,6/25/57,Product Engineer,n/a,Affluent Customer,N,<script>alert('hi')</script>,Yes,11
34,Jephthah,Bachmann,U,59,1843-12-21,Legal Assistant,IT,Affluent Customer,N,,No,20
35,Margaretha,Strettle,Female,40,9/28/63,Information Systems Manager,Health,High Net Worth,N,!@#$%^&*(),Yes,16
36,Lurette,Stonnell,Female,33,11/9/77,VP Quality Control,n/a,Affluent Customer,N,"<>?:""{}|_+",No,22
37,Laurie,Dwerryhouse,Female,46,12/22/85,Social Worker,Health,High Net Worth,N,ë©‰Ì¤‰‰Çèåµ‰_‰´Ìá,No,16
38,Cordi,Merman,Female,37,10/29/55,Senior Cost Accountant,Financial Services,Affluent Customer,N,"''''""",No,20
39,Hunfredo,Smalley,Male,5,4/16/79,Assistant Media Planner,Entertainment,Mass Customer,N,',No,22
40,Tomasine,Jerche,Female,91,10/27/81,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,í_HêíÂí_íí_eê êíí´ííÈêíwíhííøêoíêíêí±í¨ ñí¼íííêWíáí_í_aí¼í»êií¬êêí_êíøítí¦í_í¨sííêê íÊíÇíÊBíÈêêêêí_eíµhíµíÂêíÇêiíí_êí_í_í¨êíÇnêdí«í»íí êí¡êí©êêêí_Tê¢êí_êí»hêêí¨íÈeíÂíêí í_í_íWêêêííêêaêêêí_í_,No,14
41,Basilius,Coupe,Male,64,4/14/76,Food Chemist,Health,Mass Customer,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,16
